Date,Open,High,Low,Close,Adj Close,Volume
2020-12-04,235.5,237.0,230.0,232.0,227.26409912109375,307326
2020-12-07,232.0,233.0,229.0,229.5,224.8151397705078,119001
2020-12-08,230.0,231.0,228.5,228.5,223.83554077148438,248081
2020-12-09,230.0,237.0,230.0,235.0,230.20285034179688,491170
2020-12-10,235.0,235.0,226.5,227.5,222.85597229003906,539593
2020-12-11,227.5,228.5,219.0,220.0,215.50906372070312,817401
2020-12-14,221.5,223.5,217.5,218.0,213.54989624023438,333116
2020-12-15,218.0,218.0,210.5,212.0,207.67237854003906,352000
2020-12-16,213.0,218.5,211.5,215.0,210.6111297607422,361100
2020-12-17,216.0,218.5,211.0,212.5,208.1621551513672,299100
2020-12-18,215.0,216.5,212.0,213.0,208.65196228027344,175101
2020-12-21,213.0,218.5,208.5,218.5,214.03968811035156,242100
2020-12-22,218.0,219.0,210.5,211.0,206.69277954101562,322000
2020-12-23,211.5,212.5,210.0,212.0,207.67237854003906,133000
2020-12-24,211.5,217.5,211.5,213.0,208.65196228027344,144280
2020-12-25,213.0,216.0,210.0,210.0,205.71319580078125,251020
2020-12-28,211.5,212.0,209.0,209.0,204.73361206054688,203000
2020-12-29,211.5,211.5,208.0,208.5,204.2438201904297,85000
2020-12-30,210.0,213.0,209.0,212.0,207.67237854003906,157146
2020-12-31,212.0,212.0,210.5,210.5,206.20298767089844,78100
2021-01-04,212.0,216.5,211.5,214.0,209.63153076171875,381998
2021-01-05,217.0,229.5,217.0,223.5,218.93760681152344,1441300
2021-01-06,223.5,229.0,219.5,224.0,219.42739868164062,539221
2021-01-07,222.0,225.0,220.5,221.5,216.97845458984375,228000
2021-01-08,221.5,226.0,220.0,222.5,217.95803833007812,454100
2021-01-11,225.0,226.0,220.5,220.5,215.9988555908203,293000
2021-01-12,220.5,229.0,219.5,219.5,215.01927185058594,781201
2021-01-13,221.0,226.5,221.0,224.5,219.91720581054688,385001
2021-01-14,227.0,235.0,224.5,231.0,226.28451538085938,1192100
2021-01-15,231.0,233.5,220.0,220.0,215.50906372070312,797005
2021-01-18,223.0,225.0,219.0,221.0,216.4886474609375,391001
2021-01-19,224.5,224.5,218.5,218.5,214.03968811035156,363100
2021-01-20,220.0,224.0,215.0,215.0,210.6111297607422,512005
2021-01-21,216.5,218.5,211.5,212.5,208.1621551513672,435051
2021-01-22,212.5,218.5,212.5,218.5,214.03968811035156,275100
2021-01-25,217.0,218.0,215.0,218.0,213.54989624023438,145100
2021-01-26,218.0,218.5,214.0,215.5,211.1009063720703,192035
2021-01-27,218.0,218.0,215.5,217.0,212.5703125,84065
2021-01-28,214.5,218.0,214.0,215.5,211.1009063720703,150000
2021-01-29,218.5,218.5,212.0,212.5,208.1621551513672,207092
2021-02-01,215.0,215.0,210.0,210.5,206.20298767089844,194610
2021-02-02,212.5,213.0,210.0,210.5,206.20298767089844,186007
2021-02-03,212.0,212.5,209.5,210.5,206.20298767089844,164100
2021-02-04,212.0,216.5,211.5,212.0,207.67237854003906,136076
2021-02-05,215.0,215.0,212.0,212.0,207.67237854003906,95010
2021-02-17,215.0,219.5,213.5,219.5,215.01927185058594,315061
2021-02-18,223.0,225.0,215.0,225.0,220.406982421875,487091
2021-02-19,225.0,226.0,221.0,224.0,219.42739868164062,253394
2021-02-22,224.0,226.0,222.5,224.0,219.42739868164062,134250
2021-02-23,223.5,223.5,220.0,220.5,215.9988555908203,97199
2021-02-24,224.0,224.0,218.0,218.5,214.03968811035156,100006
2021-02-25,220.5,220.5,218.0,218.5,214.03968811035156,105166
2021-02-26,218.5,224.5,216.5,216.5,212.08050537109375,392182
2021-03-02,220.0,234.5,218.5,225.0,220.406982421875,893074
2021-03-03,224.0,226.5,220.0,223.5,218.93760681152344,262626
2021-03-04,222.5,222.5,217.5,219.0,214.5294647216797,207169
2021-03-05,215.5,217.0,214.0,216.5,212.08050537109375,150152
2021-03-08,219.5,220.0,212.5,213.0,208.65196228027344,297100
2021-03-09,214.5,215.0,207.5,209.0,204.73361206054688,271127
2021-03-10,211.0,211.0,208.5,209.0,204.73361206054688,111100
2021-03-11,210.0,212.5,209.5,212.0,207.67237854003906,85001
2021-03-12,215.0,215.0,211.5,212.0,207.67237854003906,101000
2021-03-15,214.0,214.0,212.0,212.5,208.1621551513672,80111
2021-03-16,213.0,213.5,212.0,212.0,207.67237854003906,70001
2021-03-17,213.0,214.5,212.5,212.5,208.1621551513672,94000
2021-03-18,214.5,216.5,212.5,216.0,211.59071350097656,138005
2021-03-19,215.5,215.5,213.0,213.0,208.65196228027344,84000
2021-03-22,213.0,214.0,212.5,212.5,208.1621551513672,67004
2021-03-23,214.0,225.0,212.5,220.0,215.50906372070312,472058
2021-03-24,220.0,228.0,218.0,224.0,219.42739868164062,467099
2021-03-25,220.0,221.5,215.0,215.0,210.6111297607422,348000
2021-03-26,214.5,216.0,213.0,215.0,210.6111297607422,137000
2021-03-29,214.0,215.0,213.0,213.5,209.14173889160156,179000
2021-03-30,215.0,215.0,213.5,214.0,209.63153076171875,141102
2021-03-31,215.0,215.5,213.5,213.5,209.14173889160156,108700
2021-04-01,215.0,215.5,212.0,213.5,209.14173889160156,149111
2021-04-07,214.5,215.0,213.5,215.0,210.6111297607422,99029
2021-04-08,215.0,217.5,214.0,216.0,211.59071350097656,129011
2021-04-09,217.0,217.0,213.5,214.5,210.12132263183594,124092
2021-04-12,216.0,217.5,215.0,215.5,211.1009063720703,120223
2021-04-13,217.5,220.0,216.0,217.0,212.5703125,199100
2021-04-14,217.0,219.0,207.5,214.0,209.63153076171875,350047
2021-04-15,212.5,216.0,212.5,215.5,211.1009063720703,54040
2021-04-16,215.5,215.5,212.5,213.5,209.14173889160156,85102
2021-04-19,216.5,216.5,212.5,213.5,209.14173889160156,83000
2021-04-20,213.5,214.5,213.0,213.5,209.14173889160156,56009
2021-04-21,214.0,214.0,213.0,214.0,209.63153076171875,53050
2021-04-22,214.0,215.0,207.5,210.0,205.71319580078125,254023
2021-04-23,212.5,225.5,212.5,225.0,220.406982421875,818598
2021-04-26,226.0,226.0,218.5,222.0,217.46823120117188,205100
2021-04-27,222.5,222.5,217.0,217.0,212.5703125,127008
2021-04-28,216.5,219.0,216.0,218.5,214.03968811035156,93000
